,Country,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
228,Zimbabwe,-19.015438,29.154857,1/22/20,0,0,0,0,Africa
227,Zambia,-13.133897,27.849332,1/22/20,0,0,0,0,Africa
257,Yemen,15.552727,48.516388,1/22/20,0,0,0,0,Eastern Mediterranean
255,Western Sahara,24.2155,-12.8858,1/22/20,0,0,0,0,Africa
237,West Bank and Gaza,31.9522,35.2332,1/22/20,0,0,0,0,Eastern Mediterranean
226,Vietnam,14.058324,108.277199,1/22/20,0,0,0,0,Western Pacific
225,Venezuela,6.4238,-66.5897,1/22/20,0,0,0,0,Americas
224,Uzbekistan,41.377491,64.585262,1/22/20,0,0,0,0,Europe
223,US,40,-100,1/22/20,1,0,0,1,Americas
222,Uruguay,-32.5228,-55.7658,1/22/20,0,0,0,0,Americas
215,United Kingdom,32.3078,-64.7505,1/22/20,0,0,0,0,Europe
216,United Kingdom,19.3133,-81.2546,1/22/20,0,0,0,0,Europe
217,United Kingdom,49.3723,-2.3644,1/22/20,0,0,0,0,Europe
218,United Kingdom,36.1408,-5.3536,1/22/20,0,0,0,0,Europe
219,United Kingdom,54.2361,-4.5481,1/22/20,0,0,0,0,Europe
220,United Kingdom,16.742498,-62.187366,1/22/20,0,0,0,0,Europe
221,United Kingdom,55.3781,-3.436,1/22/20,0,0,0,0,Europe
245,United Kingdom,18.2206,-63.0686,1/22/20,0,0,0,0,Europe
246,United Kingdom,18.4207,-64.64,1/22/20,0,0,0,0,Europe
247,United Kingdom,21.694,-71.7979,1/22/20,0,0,0,0,Europe
252,United Kingdom,-51.7963,-59.5236,1/22/20,0,0,0,0,Europe
214,United Arab Emirates,23.424076,53.847818,1/22/20,0,0,0,0,Eastern Mediterranean
213,Ukraine,48.3794,31.1656,1/22/20,0,0,0,0,Europe
212,Uganda,1.373333,32.290275,1/22/20,0,0,0,0,Africa
211,Turkey,38.9637,35.2433,1/22/20,0,0,0,0,Europe
210,Tunisia,33.886917,9.537499,1/22/20,0,0,0,0,Eastern Mediterranean
209,Trinidad and Tobago,10.6918,-61.2225,1/22/20,0,0,0,0,Americas
208,Togo,8.6195,0.8248,1/22/20,0,0,0,0,Africa
233,Timor-Leste,-8.874217,125.727539,1/22/20,0,0,0,0,South-East Asia
207,Thailand,15.870032,100.992541,1/22/20,2,0,0,2,South-East Asia
206,Tanzania,-6.369028,34.888822,1/22/20,0,0,0,0,Africa
259,Tajikistan,38.861,71.2761,1/22/20,0,0,0,0,Europe
205,Taiwan*,23.7,121,1/22/20,1,0,0,1,Western Pacific
232,Syria,34.802075,38.996815,1/22/20,0,0,0,0,Eastern Mediterranean
204,Switzerland,46.8182,8.2275,1/22/20,0,0,0,0,Europe
203,Sweden,60.128161,18.643501,1/22/20,0,0,0,0,Europe
202,Suriname,3.9193,-56.0278,1/22/20,0,0,0,0,Americas
201,Sudan,12.8628,30.2176,1/22/20,0,0,0,0,Eastern Mediterranean
200,Sri Lanka,7.873054,80.771797,1/22/20,0,0,0,0,South-East Asia
199,Spain,40.463667,-3.74922,1/22/20,0,0,0,0,Europe
254,South Sudan,6.877,31.307,1/22/20,0,0,0,0,Africa
141,South Korea,35.907757,127.766922,1/22/20,1,0,0,1,Western Pacific
198,South Africa,-30.5595,22.9375,1/22/20,0,0,0,0,Africa
197,Somalia,5.152149,46.199616,1/22/20,0,0,0,0,Eastern Mediterranean
196,Slovenia,46.1512,14.9955,1/22/20,0,0,0,0,Europe
195,Slovakia,48.669,19.699,1/22/20,0,0,0,0,Europe
194,Singapore,1.2833,103.8333,1/22/20,0,0,0,0,Western Pacific
250,Sierra Leone,8.460555,-11.779889,1/22/20,0,0,0,0,Africa
193,Seychelles,-4.6796,55.492,1/22/20,0,0,0,0,Africa
192,Serbia,44.0165,21.0059,1/22/20,0,0,0,0,Europe
191,Senegal,14.4974,-14.4524,1/22/20,0,0,0,0,Africa
190,Saudi Arabia,23.885942,45.079162,1/22/20,0,0,0,0,Eastern Mediterranean
256,Sao Tome and Principe,0.1864,6.6131,1/22/20,0,0,0,0,Africa
189,San Marino,43.9424,12.4578,1/22/20,0,0,0,0,Europe
188,Saint Vincent and the Grenadines,12.9843,-61.2872,1/22/20,0,0,0,0,Americas
187,Saint Lucia,13.9094,-60.9789,1/22/20,0,0,0,0,Americas
240,Saint Kitts and Nevis,17.357822,-62.782998,1/22/20,0,0,0,0,Americas
186,Rwanda,-1.9403,29.8739,1/22/20,0,0,0,0,Africa
185,Russia,61.52401,105.318756,1/22/20,0,0,0,0,Europe
184,Romania,45.9432,24.9668,1/22/20,0,0,0,0,Europe
