Country,Deaths,Date,Confirmed,Recovered,Active
US,0,2020-01-22,1,0,1
US,0,2020-01-23,1,0,1
US,0,2020-01-24,2,0,2
US,0,2020-01-25,2,0,2
US,0,2020-01-26,5,0,5
US,0,2020-01-27,5,0,5
US,0,2020-01-28,5,0,5
US,0,2020-01-29,5,0,5
US,0,2020-01-30,5,0,5
US,0,2020-01-31,7,0,7
US,0,2020-02-01,8,0,8
US,0,2020-02-02,8,0,8
US,0,2020-02-03,11,0,11
US,0,2020-02-04,11,0,11
US,0,2020-02-05,11,0,11
US,0,2020-02-06,11,0,11
US,0,2020-02-07,11,0,11
US,0,2020-02-08,11,0,11
US,0,2020-02-09,11,3,8
US,0,2020-02-10,11,3,8
US,0,2020-02-11,12,3,9
US,0,2020-02-12,12,3,9
US,0,2020-02-13,13,3,10
US,0,2020-02-14,13,3,10
US,0,2020-02-15,13,3,10
US,0,2020-02-16,13,3,10
US,0,2020-02-17,13,3,10
US,0,2020-02-18,13,3,10
US,0,2020-02-19,13,3,10
US,0,2020-02-20,13,3,10
US,0,2020-02-21,15,5,10
US,0,2020-02-22,15,5,10
US,0,2020-02-23,15,5,10
US,0,2020-02-24,15,5,10
US,0,2020-02-25,15,6,9
US,0,2020-02-26,15,6,9
US,0,2020-02-27,16,6,10
US,0,2020-02-28,16,7,9
US,1,2020-02-29,24,7,16
US,1,2020-03-01,30,7,22
US,6,2020-03-02,53,7,40
US,7,2020-03-03,73,7,59
US,11,2020-03-04,104,7,86
US,12,2020-03-05,174,7,155
US,14,2020-03-06,222,7,201
US,17,2020-03-07,337,7,313
US,21,2020-03-08,451,7,423
US,22,2020-03-09,519,7,490
US,28,2020-03-10,711,8,675
US,33,2020-03-11,1109,8,1068
US,43,2020-03-12,1561,12,1506
US,52,2020-03-13,2157,12,2093
US,58,2020-03-14,2870,12,2800
US,70,2020-03-15,2968,12,2886
US,97,2020-03-16,4360,17,4246
US,131,2020-03-17,6141,17,5993
US,188,2020-03-18,8917,105,8624
US,265,2020-03-19,14157,121,13771
US,362,2020-03-20,19479,147,18970
US,456,2020-03-21,25825,176,25193
US,601,2020-03-22,33761,178,32982
US,784,2020-03-23,43850,178,42888
US,1021,2020-03-24,54112,348,52743
US,1333,2020-03-25,66055,361,64361
US,1746,2020-03-26,84091,681,81664
US,2300,2020-03-27,102276,869,99107
US,2934,2020-03-28,122069,1072,118063
